CHROM	POS	GENE
chr1	26729777	ARID1A
chr1	26729778	ARID1A
chr1	26729779	ARID1A
chr1	26729780	ARID1A
chr1	26729781	ARID1A
chr1	26729782	ARID1A
chr1	26729783	ARID1A
chr1	26729784	ARID1A
chr1	26729785	ARID1A
chr1	26729786	ARID1A
chr1	26729787	ARID1A
chr1	26729788	ARID1A
chr1	26729789	ARID1A
chr1	26729790	ARID1A
chr1	26729791	ARID1A
chr1	26729792	ARID1A
chr1	26729793	ARID1A
chr1	26729794	ARID1A
chr1	26729795	ARID1A
chr1	26729796	ARID1A
chr1	26729797	ARID1A
chr1	26729798	ARID1A
chr1	26729799	ARID1A
chr1	26729800	ARID1A
chr1	26729801	ARID1A
chr1	26729802	ARID1A
chr1	26729803	ARID1A
chr1	26729804	ARID1A
chr1	26729805	ARID1A
chr1	26729806	ARID1A
chr1	26729807	ARID1A
chr1	26729808	ARID1A
chr1	26729809	ARID1A
chr1	26729810	ARID1A
chr1	26729811	ARID1A
chr1	26729812	ARID1A
chr1	26729813	ARID1A
chr1	26729814	ARID1A
chr1	26729815	ARID1A
chr1	26729816	ARID1A
chr1	26729817	ARID1A
chr1	26729818	ARID1A
chr1	26729819	ARID1A
chr1	26729820	ARID1A
chr1	26729821	ARID1A
chr1	26729822	ARID1A
chr1	26729823	ARID1A
chr1	26729824	ARID1A
chr1	26729825	ARID1A
chr1	26729826	ARID1A
chr1	26729827	ARID1A
chr1	26729828	ARID1A
chr1	26729829	ARID1A
chr1	26729830	ARID1A
chr1	26729831	ARID1A
chr1	26729832	ARID1A
chr1	26729833	ARID1A
chr1	26729834	ARID1A
chr1	26729835	ARID1A
chr1	26729836	ARID1A
chr1	26729837	ARID1A
chr1	26729838	ARID1A
chr1	26729839	ARID1A
chr1	26729840	ARID1A
chr1	26729841	ARID1A
chr1	26729842	ARID1A
chr1	26729843	ARID1A
chr1	26729844	ARID1A
chr1	26729845	ARID1A
chr1	26729846	ARID1A
chr1	26729847	ARID1A
chr1	26729848	ARID1A
chr1	26729849	ARID1A
chr1	26729850	ARID1A
chr1	26729851	ARID1A
chr1	26729852	ARID1A
chr1	26729853	ARID1A
chr1	26729854	ARID1A
chr1	26729855	ARID1A
chr1	26729856	ARID1A
chr1	26729857	ARID1A
chr1	26729858	ARID1A
chr1	26729859	ARID1A
chr1	26729860	ARID1A
chr1	26729861	ARID1A
chr1	26729862	ARID1A
chr1	26729863	ARID1A
chr1	26729864	ARID1A
chr1	26729865	ARID1A
chr1	26729866	ARID1A
chr1	26729867	ARID1A
chr1	26729868	ARID1A
chr1	26729869	ARID1A
chr1	26729870	ARID1A
chr1	26729871	ARID1A
chr1	26731135	ARID1A
chr1	26731136	ARID1A
chr1	26731137	ARID1A
chr1	26731138	ARID1A
chr1	26731139	ARID1A
chr1	26731140	ARID1A
chr1	26731141	ARID1A
chr1	26731142	ARID1A
chr1	26731143	ARID1A
chr1	26731144	ARID1A
chr1	26731145	ARID1A
chr1	26731146	ARID1A
chr1	26731147	ARID1A
chr1	26731148	ARID1A
chr1	26731149	ARID1A
chr1	26731150	ARID1A
chr1	26731151	ARID1A
chr1	26731152	ARID1A
chr1	26731153	ARID1A
chr1	26731154	ARID1A
chr1	26731155	ARID1A
chr1	26731156	ARID1A
chr1	26731157	ARID1A
chr1	26731158	ARID1A
chr1	26731159	ARID1A
chr1	26731160	ARID1A
chr1	26731161	ARID1A
chr1	26731162	ARID1A
chr1	26731163	ARID1A
chr1	26731164	ARID1A
chr1	26731165	ARID1A
chr1	26731166	ARID1A
chr1	26731167	ARID1A
chr1	26731168	ARID1A
chr1	26731169	ARID1A
chr1	26731170	ARID1A
chr1	26731171	ARID1A
chr1	26731172	ARID1A
chr1	26731173	ARID1A
chr1	26731174	ARID1A
chr1	26731175	ARID1A
chr1	26731176	ARID1A
chr1	26731177	ARID1A
chr1	26731178	ARID1A
chr1	26731179	ARID1A
chr1	26731180	ARID1A
chr1	26731181	ARID1A
chr1	26731182	ARID1A
chr1	26731183	ARID1A
chr1	26731184	ARID1A
chr1	26731185	ARID1A
chr1	26731186	ARID1A
chr1	26731187	ARID1A
chr1	26731188	ARID1A
chr1	26731189	ARID1A
chr1	26731190	ARID1A
chr1	26731191	ARID1A
chr1	26731192	ARID1A
chr1	26731193	ARID1A
chr1	26731194	ARID1A
chr1	26731195	ARID1A
chr1	26731196	ARID1A
chr1	26731197	ARID1A
chr1	26731198	ARID1A
chr1	26731199	ARID1A
chr1	26731200	ARID1A
chr1	26731201	ARID1A
chr1	26731202	ARID1A
chr1	26731203	ARID1A
chr1	26731204	ARID1A
chr1	26731205	ARID1A
chr1	26731206	ARID1A
chr1	26731207	ARID1A
chr1	26731208	ARID1A
chr1	26731209	ARID1A
chr1	26731210	ARID1A
chr1	26731211	ARID1A
chr1	26731212	ARID1A
chr1	26731213	ARID1A
chr1	26731214	ARID1A
chr1	26731215	ARID1A
chr1	26731216	ARID1A
chr1	26731217	ARID1A
chr1	26731218	ARID1A
chr1	26731219	ARID1A
chr1	26731220	ARID1A
chr1	26731221	ARID1A
chr1	26731222	ARID1A
chr1	26731223	ARID1A
chr1	26731224	ARID1A
chr1	26731225	ARID1A
chr1	26731226	ARID1A
chr1	26731227	ARID1A
chr1	26731228	ARID1A
chr1	26731229	ARID1A
chr1	26731230	ARID1A
chr1	26731231	ARID1A
chr1	26731232	ARID1A
chr1	26731233	ARID1A
chr1	26731234	ARID1A
chr1	26731235	ARID1A
chr1	26731236	ARID1A
chr1	26731237	ARID1A
chr1	26731238	ARID1A
chr1	26731239	ARID1A
chr1	26731240	ARID1A
chr1	26731241	ARID1A
chr1	26731242	ARID1A
chr1	26731243	ARID1A
chr1	26731244	ARID1A
chr1	26731245	ARID1A
chr1	26731246	ARID1A
chr1	26731247	ARID1A
chr1	26731248	ARID1A
chr1	26731249	ARID1A
chr1	26731250	ARID1A
chr1	26731251	ARID1A
chr1	26731252	ARID1A
chr1	26731253	ARID1A
chr1	26731254	ARID1A
chr1	26731255	ARID1A
chr1	26731256	ARID1A
chr1	26731257	ARID1A
chr1	26731258	ARID1A
chr1	26731259	ARID1A
chr1	26731260	ARID1A
chr1	26731261	ARID1A
chr1	26731262	ARID1A
chr1	26731263	ARID1A
chr1	26731264	ARID1A
chr1	26731265	ARID1A
chr1	26731266	ARID1A
chr1	26731267	ARID1A
chr1	26731268	ARID1A
chr1	26731269	ARID1A
chr1	26731270	ARID1A
chr1	26731271	ARID1A
chr1	26731272	ARID1A
chr1	26731273	ARID1A
chr1	26731274	ARID1A
chr1	26731275	ARID1A
chr1	26731276	ARID1A
chr1	26731277	ARID1A
chr1	26731278	ARID1A
chr1	26731279	ARID1A
chr1	26731280	ARID1A
chr1	26731281	ARID1A
chr1	26731282	ARID1A
chr1	26731283	ARID1A
chr1	26731284	ARID1A
chr1	26731285	ARID1A
chr1	26731286	ARID1A
chr1	26731287	ARID1A
chr1	26731288	ARID1A
chr1	26731289	ARID1A
chr1	26731290	ARID1A
chr1	26731291	ARID1A
chr1	26731292	ARID1A
chr1	26731293	ARID1A
chr1	26731294	ARID1A
chr1	26731295	ARID1A
chr1	26731296	ARID1A
chr1	26731297	ARID1A
chr1	26731298	ARID1A
chr1	26731299	ARID1A
chr1	26731300	ARID1A
chr1	26731301	ARID1A
chr1	26731302	ARID1A
chr1	26731303	ARID1A
chr1	26731304	ARID1A
chr1	26731305	ARID1A
chr1	26731306	ARID1A
chr1	26731307	ARID1A
chr1	26731308	ARID1A
chr1	26731309	ARID1A
chr1	26731310	ARID1A
chr1	26731311	ARID1A
chr1	26731312	ARID1A
chr1	26731313	ARID1A
chr1	26731314	ARID1A
chr1	26731315	ARID1A
chr1	26731316	ARID1A
chr1	26731317	ARID1A
chr1	26731318	ARID1A
chr1	26731319	ARID1A
chr1	26731320	ARID1A
chr1	26731321	ARID1A
chr1	26731322	ARID1A
chr1	26731323	ARID1A
chr1	26731324	ARID1A
chr1	26731325	ARID1A
chr1	26731326	ARID1A
chr1	26731327	ARID1A
chr1	26731328	ARID1A
chr1	26731329	ARID1A
chr1	26731330	ARID1A
chr1	26731331	ARID1A
chr1	26731332	ARID1A
chr1	26731333	ARID1A
chr1	26731334	ARID1A
chr1	26731335	ARID1A
chr1	26731336	ARID1A
chr1	26731337	ARID1A
chr1	26731338	ARID1A
chr1	26731339	ARID1A
chr1	26731340	ARID1A
chr1	26731341	ARID1A
chr1	26731342	ARID1A
chr1	26731343	ARID1A
chr1	26731344	ARID1A
chr1	26731345	ARID1A
chr1	26731346	ARID1A
chr1	26731347	ARID1A
chr1	26731348	ARID1A
chr1	26731349	ARID1A
chr1	26731350	ARID1A
chr1	26731351	ARID1A
chr1	26731352	ARID1A
chr1	26731353	ARID1A
chr1	26731354	ARID1A
chr1	26731355	ARID1A
chr1	26731356	ARID1A
chr1	26731357	ARID1A
chr1	26731358	ARID1A
chr1	26731359	ARID1A
chr1	26731360	ARID1A
chr1	26731361	ARID1A
chr1	26731362	ARID1A
chr1	26731363	ARID1A
chr1	26731364	ARID1A
chr1	26731365	ARID1A
chr1	26731366	ARID1A
chr1	26731367	ARID1A
chr1	26731368	ARID1A
chr1	26731369	ARID1A
chr1	26731370	ARID1A
chr1	26731371	ARID1A
chr1	26731372	ARID1A
chr1	26731373	ARID1A
chr1	26731374	ARID1A
chr1	26731375	ARID1A
chr1	26731376	ARID1A
chr1	26731377	ARID1A
chr1	26731378	ARID1A
chr1	26731379	ARID1A
chr1	26731380	ARID1A
chr1	26731381	ARID1A
chr1	26731382	ARID1A
chr1	26731383	ARID1A
chr1	26731384	ARID1A
chr1	26731385	ARID1A
chr1	26731386	ARID1A
chr1	26731387	ARID1A
chr1	26731388	ARID1A
chr1	26731389	ARID1A
chr1	26731390	ARID1A
chr1	26731391	ARID1A
chr1	26731392	ARID1A
chr1	26731393	ARID1A
chr1	26731394	ARID1A
chr1	26731395	ARID1A
chr1	26731396	ARID1A
chr1	26731397	ARID1A
chr1	26731398	ARID1A
chr1	26731399	ARID1A
chr1	26731400	ARID1A
chr1	26731401	ARID1A
chr1	26731402	ARID1A
chr1	26731403	ARID1A
chr1	26731404	ARID1A
chr1	26731405	ARID1A
chr1	26731406	ARID1A
chr1	26731407	ARID1A
chr1	26731408	ARID1A
chr1	26731409	ARID1A
chr1	26731410	ARID1A
chr1	26731411	ARID1A
chr1	26731412	ARID1A
chr1	26731413	ARID1A
chr1	26731414	ARID1A
chr1	26731415	ARID1A
chr1	26731416	ARID1A
chr1	26731417	ARID1A
chr1	26731418	ARID1A
chr1	26731419	ARID1A
chr1	26731420	ARID1A
chr1	26731421	ARID1A
chr1	26731422	ARID1A
chr1	26731423	ARID1A
chr1	26731424	ARID1A
chr1	26731425	ARID1A
chr1	26731426	ARID1A
chr1	26731427	ARID1A
chr1	26731428	ARID1A
chr1	26731429	ARID1A
chr1	26731430	ARID1A
chr1	26731431	ARID1A
chr1	26731432	ARID1A
chr1	26731433	ARID1A
chr1	26731434	ARID1A
chr1	26731435	ARID1A
chr1	26731436	ARID1A
chr1	26731437	ARID1A
chr1	26731438	ARID1A
chr1	26731439	ARID1A
chr1	26731440	ARID1A
chr1	26731441	ARID1A
chr1	26731442	ARID1A
chr1	26731443	ARID1A
chr1	26731444	ARID1A
chr1	26731445	ARID1A
chr1	26731446	ARID1A
chr1	26731447	ARID1A
chr1	26731448	ARID1A
chr1	26731449	ARID1A
chr1	26731450	ARID1A
chr1	26731451	ARID1A
chr1	26731452	ARID1A
chr1	26731453	ARID1A
chr1	26731454	ARID1A
chr1	26731455	ARID1A
chr1	26731456	ARID1A
chr1	26731457	ARID1A
chr1	26731458	ARID1A
chr1	26731459	ARID1A
chr1	26731460	ARID1A
chr1	26731461	ARID1A
chr1	26731462	ARID1A
chr1	26731463	ARID1A
chr1	26731464	ARID1A
chr1	26731465	ARID1A
chr1	26731466	ARID1A
chr1	26731467	ARID1A
chr1	26731468	ARID1A
chr1	26731469	ARID1A
chr1	26731470	ARID1A
chr1	26731471	ARID1A
chr1	26731472	ARID1A
chr1	26731473	ARID1A
chr1	26731474	ARID1A
chr1	26731475	ARID1A
chr1	26731476	ARID1A
chr1	26731477	ARID1A
chr1	26731478	ARID1A
chr1	26731479	ARID1A
chr1	26731480	ARID1A
chr1	26731481	ARID1A
chr1	26731482	ARID1A
chr1	26731483	ARID1A
chr1	26731484	ARID1A
chr1	26731485	ARID1A
chr1	26731486	ARID1A
chr1	26731487	ARID1A
chr1	26731488	ARID1A
chr1	26731489	ARID1A
chr1	26731490	ARID1A
chr1	26731491	ARID1A
chr1	26731492	ARID1A
chr1	26731493	ARID1A
chr1	26731494	ARID1A
chr1	26731495	ARID1A
chr1	26731496	ARID1A
chr1	26731497	ARID1A
chr1	26731498	ARID1A
chr1	26731499	ARID1A
chr1	26731500	ARID1A
chr1	26731501	ARID1A
chr1	26731502	ARID1A
chr1	26731503	ARID1A
chr1	26731504	ARID1A
chr1	26731505	ARID1A
chr1	26731506	ARID1A
chr1	26731507	ARID1A
chr1	26731508	ARID1A
chr1	26731509	ARID1A
chr1	26731510	ARID1A
chr1	26731511	ARID1A
chr1	26731512	ARID1A
chr1	26731513	ARID1A
chr1	26731514	ARID1A
chr1	26731515	ARID1A
chr1	26731516	ARID1A
chr1	26731517	ARID1A
chr1	26731518	ARID1A
chr1	26731519	ARID1A
chr1	26731520	ARID1A
chr1	26731521	ARID1A
chr1	26731522	ARID1A
chr1	26731523	ARID1A
chr1	26731524	ARID1A
chr1	26731525	ARID1A
chr1	26731526	ARID1A
chr1	26731527	ARID1A
chr1	26731528	ARID1A
chr1	26731529	ARID1A
chr1	26731530	ARID1A
chr1	26731531	ARID1A
chr1	26731532	ARID1A
chr1	26731533	ARID1A
chr1	26731534	ARID1A
chr1	26731535	ARID1A
chr1	26731536	ARID1A
chr1	26731537	ARID1A
chr1	26731538	ARID1A
chr1	26731539	ARID1A
chr1	26731540	ARID1A
chr1	26731541	ARID1A
chr1	26731542	ARID1A
chr1	26731543	ARID1A
chr1	26731544	ARID1A
chr1	26731545	ARID1A
chr1	26731546	ARID1A
chr1	26731547	ARID1A
chr1	26731548	ARID1A
chr1	26731549	ARID1A
chr1	26731550	ARID1A
chr1	26731551	ARID1A
chr1	26731552	ARID1A
chr1	26731553	ARID1A
chr1	26731554	ARID1A
chr1	26731555	ARID1A
chr1	26731556	ARID1A
chr1	26731557	ARID1A
chr1	26731558	ARID1A
chr1	26731559	ARID1A
chr1	26731560	ARID1A
chr1	26731561	ARID1A
chr1	26731562	ARID1A
chr1	26731563	ARID1A
chr1	26731564	ARID1A
chr1	26731565	ARID1A
chr1	26731566	ARID1A
chr1	26731567	ARID1A
chr1	26731568	ARID1A
chr1	26731569	ARID1A
chr1	26731570	ARID1A
chr1	26731571	ARID1A
chr1	26731572	ARID1A
chr1	26731573	ARID1A
chr1	26731574	ARID1A
chr1	26731575	ARID1A
chr1	26731576	ARID1A
chr1	26731577	ARID1A
chr1	26731578	ARID1A
chr1	26731579	ARID1A
chr1	26731580	ARID1A
chr1	26731581	ARID1A
chr1	26731582	ARID1A
chr1	26731583	ARID1A
chr1	26731584	ARID1A
chr1	26731585	ARID1A
chr1	26731586	ARID1A
chr1	26731587	ARID1A
chr1	26731588	ARID1A
chr1	26731589	ARID1A
chr1	26731590	ARID1A
chr1	26731591	ARID1A
chr1	26731592	ARID1A
chr1	26731593	ARID1A
chr1	26731594	ARID1A
chr1	26731595	ARID1A
chr1	26731596	ARID1A
chr1	26731597	ARID1A
chr1	26731598	ARID1A
chr1	26731599	ARID1A
chr1	26731600	ARID1A
chr1	26731601	ARID1A
chr1	26731602	ARID1A
chr1	26731603	ARID1A
chr1	26731604	ARID1A
chr1	26731605	ARID1A
chr1	26731606	ARID1A
chr1	26731607	ARID1A
chr1	26731608	ARID1A
chr1	26731609	ARID1A
chr1	26731610	ARID1A
chr1	26731611	ARID1A
chr1	26731612	ARID1A
chr1	26732659	ARID1A
chr1	26732660	ARID1A
chr1	26732661	ARID1A
chr1	26732662	ARID1A
chr1	26732663	ARID1A
chr1	26732664	ARID1A
chr1	26732665	ARID1A
chr1	26732666	ARID1A
chr1	26732667	ARID1A
chr1	26732668	ARID1A
chr1	26732669	ARID1A
chr1	26732670	ARID1A
chr1	26732671	ARID1A
chr1	26732672	ARID1A
chr1	26732673	ARID1A
chr1	26732674	ARID1A
chr1	26732675	ARID1A
chr1	26732676	ARID1A
chr1	26732677	ARID1A
chr1	26732678	ARID1A
chr1	26732679	ARID1A
chr1	26732680	ARID1A
chr1	26732681	ARID1A
chr1	26732682	ARID1A
chr1	26732683	ARID1A
chr1	26732684	ARID1A
chr1	26732685	ARID1A
chr1	26732686	ARID1A
chr1	26732687	ARID1A
chr1	26732688	ARID1A
chr1	26732689	ARID1A
chr1	26732690	ARID1A
chr1	26732691	ARID1A
chr1	26732692	ARID1A
chr1	26732693	ARID1A
chr1	26732694	ARID1A
chr1	26732695	ARID1A
chr1	26732696	ARID1A
chr1	26732697	ARID1A
chr1	26732698	ARID1A
chr1	26732699	ARID1A
chr1	26732700	ARID1A
chr1	26732701	ARID1A
chr1	26732702	ARID1A
chr1	26732703	ARID1A
chr1	26732704	ARID1A
chr1	26732705	ARID1A
chr1	26732706	ARID1A
chr1	26732707	ARID1A
chr1	26732708	ARID1A
chr1	26732709	ARID1A
chr1	26732710	ARID1A
chr1	26732711	ARID1A
chr1	26732712	ARID1A
chr1	26732713	ARID1A
chr1	26732714	ARID1A
chr1	26732715	ARID1A
chr1	26732716	ARID1A
chr1	26732717	ARID1A
chr1	26732718	ARID1A
chr1	26732719	ARID1A
chr1	26732720	ARID1A
chr1	26732721	ARID1A
chr1	26732722	ARID1A
chr1	26732723	ARID1A
chr1	26732724	ARID1A
chr1	26732725	ARID1A
chr1	26732726	ARID1A
chr1	26732727	ARID1A
chr1	26732728	ARID1A
chr1	26732729	ARID1A
chr1	26732730	ARID1A
chr1	26732731	ARID1A
chr1	26732732	ARID1A
chr1	26732733	ARID1A
chr1	26732734	ARID1A
chr1	26732735	ARID1A
chr1	26732736	ARID1A
chr1	26732737	ARID1A
chr1	26732738	ARID1A
chr1	26732739	ARID1A
chr1	26732740	ARID1A
chr1	26732741	ARID1A
chr1	26732742	ARID1A
chr1	26732743	ARID1A
chr1	26732744	ARID1A
chr1	26732745	ARID1A
chr1	26732746	ARID1A
chr1	26732747	ARID1A
chr1	26732748	ARID1A
chr1	26732749	ARID1A
chr1	26732750	ARID1A
chr1	26732751	ARID1A
chr1	26732752	ARID1A
chr1	26732753	ARID1A
chr1	26732754	ARID1A
chr1	26732755	ARID1A
chr1	26732756	ARID1A
chr1	26732757	ARID1A
chr1	26732758	ARID1A
chr1	26732759	ARID1A
chr1	26732760	ARID1A
chr1	26732761	ARID1A
chr1	26732762	ARID1A
chr1	26732763	ARID1A
chr1	26732764	ARID1A
chr1	26732765	ARID1A
chr1	26732766	ARID1A
chr1	26732767	ARID1A
chr1	26732768	ARID1A
chr1	26732769	ARID1A
chr1	26732770	ARID1A
chr1	26732771	ARID1A
chr1	26732772	ARID1A
chr1	26732773	ARID1A
chr1	26732774	ARID1A
chr1	26732775	ARID1A
chr1	26732776	ARID1A
chr1	26732777	ARID1A
chr1	26732778	ARID1A
chr1	26732779	ARID1A
chr1	26732780	ARID1A
chr1	26732781	ARID1A
chr1	26732782	ARID1A
chr1	26732783	ARID1A
chr1	26732784	ARID1A
chr1	26732785	ARID1A
chr1	26732786	ARID1A
chr1	26732787	ARID1A
chr1	26732788	ARID1A
chr1	26732789	ARID1A
chr1	26732790	ARID1A
chr1	26732791	ARID1A
chr1	26732792	ARID1A
chr1	26732793	ARID1A
chr1	26732794	ARID1A
chr1	26732795	ARID1A
chr1	26732796	ARID1A
chr1	26732797	ARID1A
chr1	26732798	ARID1A
chr1	26732799	ARID1A
chr1	26732800	ARID1A
chr1	26760839	ARID1A
chr1	26760840	ARID1A
chr1	26760841	ARID1A
chr1	26760842	ARID1A
chr1	26760843	ARID1A
chr1	26760844	ARID1A
chr1	26760845	ARID1A
chr1	26760846	ARID1A
chr1	26760847	ARID1A
chr1	26760848	ARID1A
chr1	26760849	ARID1A
chr1	26760850	ARID1A
chr1	26760851	ARID1A
chr1	26760852	ARID1A
chr1	26760853	ARID1A
chr1	26760854	ARID1A
chr1	26760855	ARID1A
chr1	26760856	ARID1A
chr1	26760857	ARID1A
chr1	26760858	ARID1A
chr1	26760859	ARID1A
chr1	26760860	ARID1A
chr1	26760861	ARID1A
chr1	26760862	ARID1A
chr1	26760863	ARID1A
chr1	26760864	ARID1A
chr1	26760865	ARID1A
chr1	26760866	ARID1A
chr1	26760867	ARID1A
chr1	26760868	ARID1A
chr1	26760869	ARID1A
chr1	26760870	ARID1A
chr1	26760871	ARID1A
chr1	26760872	ARID1A
chr1	26760873	ARID1A
chr1	26760874	ARID1A
chr1	26760875	ARID1A
chr1	26760876	ARID1A
chr1	26760877	ARID1A
chr1	26760878	ARID1A
chr1	26760879	ARID1A
chr1	26760880	ARID1A
chr1	26760881	ARID1A
chr1	26760882	ARID1A
chr1	26760883	ARID1A
chr1	26760884	ARID1A
chr1	26760885	ARID1A
chr1	26760886	ARID1A
chr1	26760887	ARID1A
chr1	26760888	ARID1A
chr1	26760889	ARID1A
chr1	26760890	ARID1A
chr1	26760891	ARID1A
chr1	26760892	ARID1A
chr1	26760893	ARID1A
chr1	26760894	ARID1A
chr1	26760895	ARID1A
chr1	26760896	ARID1A
chr1	26760897	ARID1A
chr1	26760898	ARID1A
chr1	26760899	ARID1A
chr1	26760900	ARID1A
chr1	26760901	ARID1A
chr1	26760902	ARID1A
chr1	26760903	ARID1A
chr1	26760904	ARID1A
chr1	26760905	ARID1A
chr1	26760906	ARID1A
chr1	26760907	ARID1A
chr1	26760908	ARID1A
chr1	26760909	ARID1A
chr1	26760910	ARID1A
chr1	26760911	ARID1A
chr1	26760912	ARID1A
chr1	26760913	ARID1A
chr1	26760914	ARID1A
chr1	26760915	ARID1A
chr1	26760916	ARID1A
chr1	26760917	ARID1A
chr1	26760918	ARID1A
chr1	26760919	ARID1A
chr1	26760920	ARID1A
chr1	26760921	ARID1A
chr1	26760922	ARID1A
chr1	26760923	ARID1A
chr1	26760924	ARID1A
chr1	26760925	ARID1A
chr1	26760926	ARID1A
chr1	26760927	ARID1A
chr1	26760928	ARID1A
chr1	26760929	ARID1A
chr1	26760930	ARID1A
chr1	26760931	ARID1A
chr1	26760932	ARID1A
chr1	26760933	ARID1A
chr1	26760934	ARID1A
chr1	26760935	ARID1A
chr1	26760936	ARID1A
chr1	26760937	ARID1A
chr1	26760938	ARID1A
chr1	26760939	ARID1A
chr1	26760940	ARID1A
chr1	26760941	ARID1A
chr1	26760942	ARID1A
chr1	26760943	ARID1A
chr1	26760944	ARID1A
chr1	26760945	ARID1A
chr1	26760946	ARID1A
chr1	26760947	ARID1A
chr1	26760948	ARID1A
chr1	26760949	ARID1A
chr1	26760950	ARID1A
chr1	26760951	ARID1A
chr1	26760952	ARID1A
chr1	26760953	ARID1A
chr1	26760954	ARID1A
chr1	26760955	ARID1A
chr1	26760956	ARID1A
chr1	26760957	ARID1A
chr1	26760958	ARID1A
chr1	26760959	ARID1A
chr1	26760960	ARID1A
chr1	26760961	ARID1A
chr1	26760962	ARID1A
chr1	26760963	ARID1A
chr1	26760964	ARID1A
chr1	26760965	ARID1A
chr1	26760966	ARID1A
chr1	26760967	ARID1A
chr1	26760968	ARID1A
chr1	26760969	ARID1A
chr1	26760970	ARID1A
chr1	26760971	ARID1A
chr1	26760972	ARID1A
chr1	26760973	ARID1A
chr1	26760974	ARID1A
chr1	26760975	ARID1A
chr1	26760976	ARID1A
chr1	26760977	ARID1A
chr1	26760978	ARID1A
